"azonosito","nev","kod","datum","kezdoenek","konyorges","felajanlo","prefacio","aldozasi","aldozasutani"
"94","Urunk születése: Karácsony – Pásztorok miséje","1","12-25c","Fényesség ragyog ránk a mai napon: Urunk megszületett!
Ő a Csodálatos, az Isten, a Béke Fejedelme,
a jövendő élet Atyja, és uralmának nem lesz vége. (Vö. Iz 9,2.6; Lk 1,33)","Mindenható Istenünk,
örök Igéd megtestesülésével új hajnal virradt ránk.
Add, hogy a hit fénye, amely lelkünket eltölti,
tetteinkben is megnyilvánuljon.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Kérünk, mennyei Atyánk, hogy áldozati ajándékunk jelenítse meg azt,
amit Karácsonykor ünnepelünk:
ahogyan ma emberi alakban felragyogott előttünk az Isten,
úgy ez a földi áldozat szerezze meg nekünk
az isteni életet.
Krisztus, a mi Urunk által.","<i>A misekönyv három prefációt közöl, ebből az elsőt vettük.<br>
Krisztus a fény<br>
<br>
31. A következő prefációt Urunk születése (Karácsony) főünnepének és nyolcadának miséin mondjuk; Urunk születésének nyolcadában azokban a misékben is, amelyek különben saját prefációjuk lenne, azon misék kivételével, amelyek az isteni titkokról vagy személyekről szólnak; továbbá a karácsonyi idő köznapjain.</i>
<br>
Az Úr legyen veletek. H.: És a te lelkeddel.<br>
Emeljük föl szívünket. H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek. H.: Méltó és igazságos.
<br>
(Mert) Valóban méltó és igazsákos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
mi Urunk, szentséges Atyánk, mindenható, örök Isten:
  Krisztus, a mi Urunk által.
<br>
Az Ige megtestesülésének titka által
(a te) dicsőséged új fénye ragyogott föl nekünk,
–    hogy amikor látható alakban ismerjük meg az IStent,
  a láthatatlan világ szeretetére gyulladjunk általa.
<br>
(És) Ezért mi is, miként az angyalok és főangyalok,
a trónod körül álló hatalmas égi szellemek,
és minden seregek a mennyben,
(a te) dicsőséged himnuszát zengjük,
–    és velük EGyütt
  vég nélkül mondjuk: (énekeljük:)","Ujjongj, Isten népe, örvendezz, Jeruzsálem:
nézd, itt jön szent Királyod, a világ Üdvözítője. (Vö. Zak 9,9)","Urunk, Istenünk,
örvendező áhítattal tiszteljük szent Fiad születését.
Add, hogy hitünkkel minél teljesebben fogjuk fel
Karácsony titkának mélységét,
és még lángolóbb szeretettel tegyük magunkévá.
Krisztus, a mi Urunk által."
"95","Urunk születése: Karácsony – Ünnepi mise","1","12-25","Misekönyv 138. oldal<br>
Gyermek születik nekünk, és fiú adatik nekünk,
az uralom az ő vállán lesz.
Így fogják hívni: a nagy határozat Hírvivője. (Iz 9,6)","Istenünk, te az emberi természet méltóságát
csodálatosan megalkottad,
és még csodálatosabban megújítottad.
Add, kérünk, hogy részesedjünk Fiad istenségében,
aki kegyesen részese lett emberségünknek.
Aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Kérünk, jóságos Istenünk,
fogadd el ünnepi áldozatunkat,
mert ezen a napon vette kezdetét
a tökéletes kiengesztelődés,
és istentiszteletünk teljessége.
Krisztus, a mi Urunk által.
","Misekönyv 430. oldal<br>
<i>A misekönyv három prefációt közöl, ebből az elsőt vettük.<br>I. PREFÁCIÓ URUNK SZÜLETÉSÉRŐL<br>
Krisztus a fény<br>
<br>
31. A következő prefációt Urunk születése (Karácsony) főünnepének és nyolcadának miséin mondjuk; Urunk születésének nyolcadában azokban a misékben is, amelyek különben saját prefációjuk lenne, azon misék kivételével, amelyek az isteni titkokról vagy személyekről szólnak; továbbá a karácsonyi idő köznapjain.</i>
<br>
Az Úr legyen veletek. H.: És a te lelkeddel.<br>
Emeljük föl szívünket. H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek. H.: Méltó és igazságos.
<br>
(Mert) Valóban méltó és igazsákos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
mi Urunk, szentséges Atyánk, mindenható, örök Isten:
<br>
Az Ige megtestesülésének titka által
(a te) dicsőséged új fénye ragyogott föl nekünk,
– hogy amikor látható alakban ismerjük meg az Istent,
  a láthatatlan világ szeretetére gyulladjunk általa.
<br>
(És) Ezért mi is, miként az angyalok és főangyalok,
a trónod körül álló hatalmas égi szellemek,
és minden seregek a mennyben,
(a te) dicsőséged himnuszát zengjük,
– és velük együtt
  vég nélkül mondjuk (énekeljük):","Meglátta a föld minden határa
Istenünk szabadítását. 
(Vö. Zsolt 97,3) ","Add meg, irgalmas Istenünk,
hogy a világ ma született Üdvözítője,
amint istengyermeki életünk szerzője,
ugyanúgy halhatatlanságunk ajándékozója is legyen.
Aki él és uralkodik mindörökkön örökké."
"96","Karácsonyi idő - december 29.","2","12-29","Úgy szerette Isten a világot, hogy egyszülött Fiát adta oda,
hogy aki hisz benne, az el ne vesszen, hanem örökké éljen. (Jn 3,16)","Mindenható és láthatatlan Istenünk,
te elküldted hozzánk a világ Világosságát,
hogy eloszlassa a világ sötétségét.
Fordítsd felénk jóságos arcodat,
és add, hogy méltó tisztelettel ünnepeljük
egyszülött Fiad csodálatos születését.
Aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Urunk, Istenünk, fogadd el áldozati adományainkat,
amelyekben titokzatos csere valósul meg számunkra:
felajánljuk a tőled kapott ajándékokat,
és megnyerünk téged magadat.
Krisztus, a mi Urunk által.","<i>A misekönyv három prefációt közöl, ebből az elsőt vettük.<br>
Krisztus a fény<br>
<br>
31. A következő prefációt Urunk születése (Karácsony) főünnepének és nyolcadának miséin mondjuk; Urunk születésének nyolcadában azokban a misékben is, amelyek különben saját prefációjuk lenne, azon misék kivételével, amelyek az isteni titkokról vagy személyekről szólnak; továbbá a karácsonyi idő köznapjain.</i>
<br>
Az Úr legyen veletek. H.: És a te lelkeddel.<br>
Emeljük föl szívünket. H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek. H.: Méltó és igazságos.
<br>
(Mert) Valóban méltó és igazsákos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
mi Urunk, szentséges Atyánk, mindenható, örök Isten:
  Krisztus, a mi Urunk által.
<br>
Az Ige megtestesülésének titka által
(a te) dicsőséged új fénye ragyogott föl nekünk,
–    hogy amikor látható alakban ismerjük meg az IStent,
  a láthatatlan világ szeretetére gyulladjunk általa.
<br>
(És) Ezért mi is, miként az angyalok és főangyalok,
a trónod körül álló hatalmas égi szellemek,
és minden seregek a mennyben,
(a te) dicsőséged himnuszát zengjük,
–    és velük EGyütt
  vég nélkül mondjuk: (énekeljük:)","Istenünk irgalmából eljött hozzánk felkelő Napunk a magasságból. (Lk 1,78)","Kérünk, mindenható Istenünk,
hogy ebben a szentségben adott kegyelmed
mindenkor új erővel töltse el életünket.
Krisztus, a mi Urunk által."
"97","Karácsonyi idő - december 30.","2","12-30","Mialatt mély csend borult mindenre,
és az éjszaka sietős útja közepén tartott,
mindenható Igéd, Urunk, királyi trónjáról eljött közénk. (Bölcs 18,14-15)","Kérünk, mindenható Istenünk,
hogy egyszülött Fiadnak test szerint való születése
a bűn régi rabságából szabadítson meg minket.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Kérünk, Istenünk, fogadd kegyesen néped adományait.
Add, hogy mennyei ajándékaidból meg is kapjuk azt,
amit buzgó hittel vallunk.
Krisztus, a mi Urunk által.","<i>A misekönyv három prefációt közöl, ebből az elsőt vettük.<br>
Krisztus a fény<br>
<br>
31. A következő prefációt Urunk születése (Karácsony) főünnepének és nyolcadának miséin mondjuk; Urunk születésének nyolcadában azokban a misékben is, amelyek különben saját prefációjuk lenne, azon misék kivételével, amelyek az isteni titkokról vagy személyekről szólnak; továbbá a karácsonyi idő köznapjain.</i>
<br>
Az Úr legyen veletek. H.: És a te lelkeddel.<br>
Emeljük föl szívünket. H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek. H.: Méltó és igazságos.
<br>
(Mert) Valóban méltó és igazsákos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
mi Urunk, szentséges Atyánk, mindenható, örök Isten:
  Krisztus, a mi Urunk által.
<br>
Az Ige megtestesülésének titka által
(a te) dicsőséged új fénye ragyogott föl nekünk,
–    hogy amikor látható alakban ismerjük meg az IStent,
  a láthatatlan világ szeretetére gyulladjunk általa.
<br>
(És) Ezért mi is, miként az angyalok és főangyalok,
a trónod körül álló hatalmas égi szellemek,
és minden seregek a mennyben,
(a te) dicsőséged himnuszát zengjük,
–    és velük EGyütt
  vég nélkül mondjuk: (énekeljük:)","Mindannyian az ő teljességéből részesültünk,
kegyelmet kegyelemre halmozva. (Jn 1,16)","Istenünk, te mennyei eledelben részesítesz és magadhoz emelsz minket.
Kérünk, tedd hatékonnyá szívünkben e szentség erejét,
hogy kegyelmi ajándékaid méltó fogadására
maga szentségi ajándékod készítsen elő minket.
Krisztus, a mi Urunk által."
"98","Karácsonyi idő - december 31.","2","12-31","Gyermek született, Fiú adatott nekünk,
az ő vállára kerül az uralom.
Így fogják hívni: Isten örök terveinek Hírnöke. (Iz 9,6)","Mindenható, örök Isten,
te szent Fiad születésével
új módon és tökéletesen magadhoz kapcsoltad az emberiséget.
Kérünk, ismerj minket magadénak Fiad kedvéért,
mert ő az egész emberi nem Üdvözítője.
Aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Istenünk, te vagy az igazi buzgóság és békesség forrása.
Add meg kérünk, hogy méltóképpen tiszteljük fölségedet
	ezzel az áldozati ajándékkal,
és miközben részt veszünk a szent áldozatban,
mindnyájunk szíve egyesüljön a hitben.
Krisztus, a mi Urunk által.","<i>A misekönyv három prefációt közöl, ebből az elsőt vettük.<br>
Krisztus a fény<br>
<br>
31. A következő prefációt Urunk születése (Karácsony) főünnepének és nyolcadának miséin mondjuk; Urunk születésének nyolcadában azokban a misékben is, amelyek különben saját prefációjuk lenne, azon misék kivételével, amelyek az isteni titkokról vagy személyekről szólnak; továbbá a karácsonyi idő köznapjain.</i>
<br>
Az Úr legyen veletek. H.: És a te lelkeddel.<br>
Emeljük föl szívünket. H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek. H.: Méltó és igazságos.
<br>
(Mert) Valóban méltó és igazsákos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
mi Urunk, szentséges Atyánk, mindenható, örök Isten:
  Krisztus, a mi Urunk által.
<br>
Az Ige megtestesülésének titka által
(a te) dicsőséged új fénye ragyogott föl nekünk,
–    hogy amikor látható alakban ismerjük meg az IStent,
  a láthatatlan világ szeretetére gyulladjunk általa.
<br>
(És) Ezért mi is, miként az angyalok és főangyalok,
a trónod körül álló hatalmas égi szellemek,
és minden seregek a mennyben,
(a te) dicsőséged himnuszát zengjük,
–    és velük EGyütt
  vég nélkül mondjuk: (énekeljük:)","Isten elküldte a világba egyszülött Fiát,
hogy általa éljünk. (1Jn 4,9)","Istenünk, te sokféle segítő kegyelmeddel kormányozod népedet.
Kérünk, oltalmazd mind a jelenben, mind a jövőben,
hogy a nélkülözhetetlen mulandó javak használatából ösztönzést merítve,
még hűségesebben törekedjék az örökkévalókra.
Krisztus, a mi Urunk által."
"99","Karácsonyi idő - január 2.","2","00-02",,,,,,
"100","Karácsonyi idő - január 3.","2","01-03b",,,,,,
"101","Karácsonyi idő - január 4.","2","01-04",,,,,,
"102","Karácsonyi idő - január 5.","2","01-05",,,,,,
"103","Szent Jusztínusz vértanú","3","06-01",,,,,,
"104","Szent Marcellínusz és Szent Péter vértanúk","4","06-02",,,,,,
"105","Lwanga Szent Károly és társai, ugandai vértanúk","3","06-03b",,,,,,
"106","Szent Bonifác püspök és vértanú","5","06-05",,,,,,
"107","Szent Norbert püspök","4","06-06",,,,,,
"108","Prágai Szent Ágnes szűz","4","06-08",,,,,,
"109","Szent Efrém diakónus és egyháztanító","4","06-09",,,,,,
"110","Szent Barnabás apostol","3","06-11",,,,,,
"111","Páduai Szent Antal áldozópap és egyháztanító","3","06-13",,,,,,
"112","Árpád-házi Boldog Jolán szerzetesnő","3","06-15",,,,,,
"113","Szent Romuald apát","5","06-19",,,,,,
"114","Gonzága Szent Alajos szerzetes","3","06-21",,,,,,
"115","Nolai Szent Paulínusz püspök","4","06-22a",,,,,,
"116","Fisher Szent János püspök, vértanú
és Morus Szent Tamás vértanú, az államfők
és a politikusok védőszentje","4","06-22b",,,,,,
"117","Keresztelő Szent János születése","1","06-24","Misekönyv 637. oldal<br>
Volt egy ember, akit Isten küldött,
János volt a neve.
Azért jött, hogy tanúságot tegyen a világosságról,
hogy a népet előkészítse az Úrnak. 
(Jn 1,6-7; Lk 1,17) ","Istenünk, te azért támasztottad Keresztelő Szent Jánost,
hogy népét előkészítse Krisztus Urunk méltó fogadására.
Add meg Egyházadnak a lelki örömök ajándékát,
és vezess mindnyájunkat az üdvösség és a béke útjára.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Mindenható Istenünk, oltárodat adományainkkal halmozzuk el,
hogy méltóképpen ünnepeljük Keresztelő Szent János születését,
aki a világ Üdvözítőjéről megjövendölte, hogy hamarosan eljön,
és rá is mutatott, amikor eljött Urunk, Jézus Krisztus.
Aki él és uralkodik mindörökkön örökké.","Misekönyv 638. oldal<br>
<i>Az Előhírnök küldetése.</i><br>
Az Úr legyen veletek.	H.: És a te lelkeddel.<br>
Emeljük föl szívünket.	H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek.	H.: Méltó és igazságos.<br>

(Mert) Valóban méltó és igazságos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
mi Urunk, szentséges Atyánk, mindenható, örök Isten:
–  Krisztus, a mi Urunk által.
<br>
Az ő előhírnökében, Szent Jánosban fölségedet dicsérjük,
– akinek az asszonyok szülöttei között
szent küldetést szántál.
<br>
Már anyja méhében repesve fogadta a Megváltót,
és születésével sokaknak örömet szerzett,
– s a próféták közül ő volt az egyetlen,
ki megmutatta az Üdvözítőt, a Bárányt.<br>
Majd megkeresztelte a keresztség szerzőjét,
hogy a kegyelem forrása váljék a vízből,
–  és méltó lett arra is,
hogy kiomló vérével végső tanúságot tegyen Krisztusról.
 <br>
(És) Ezért a mennyei hatalmas angyalokkal együtt
a földön mi is szüntelenül magasztalunk téged,
– fölségedet dicsérjük,
és hangos szóval vég nélkül mondjuk (zengjük):
","A mi Istenünk szívének irgalmából,
meglátogatott minket felkelő Napunk a magasságból! 
(Vö. Lk 1,78)","Mennyei Atyánk, megerősödtünk Fiadnak, 
az Isten Bárányának lakomáján.
Add, hogy Egyházad
Keresztelő Szent János születését ünnepelve 
új örömre keljen, és Krisztusban felismerje 
újjászületésének szerzőjét,
akinek érkezését a Keresztelő előre hirdette.
Aki él és uralkodik mindörökkön örökké."
"118","Alexandriai Szent Cirill püspök és egyháztanító","5","06-26",,,,,,
"119","Szent László király","2","06-27","Misekönyv 639. oldal<br>
Magasztaljon téged, Uram, minden műved,
és szentjeid áldjanak!
Hirdessék országod dicsőségét,
és hatalmadról beszéljenek. 
(Zsolt 144,10-11)","Istenünk,
te sokféle csodával dicsőítetted meg Szent László királyt.
Érdemeiért és közbenjárására
őrizz meg minket minden rossztól,
és vezess el a boldog örök életre.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Mindenható Istenünk, felajánljuk jóságodnak
engesztelő adományainkat.
Kérünk, fogadd el azokat Szent László király
érdemeiért és közbenjárására,
és áraszd ránk áldásodat.
Krisztus, a mi Urunk által.
","I. vagy II. prefáció a szentekről, Misekönyv 463–464. oldal","Örvendenek és ujjonganak az igazak Isten színe előtt,
vigadoznak örömükben. 
(Zsolt 67,4)","Urunk, Istenünk, magunkhoz vettük
üdvösségünk szentségét.
Alázatosan kérjük jóságodat,
ne vond meg tőlünk jelen életünkben segítségedet,
és Szent László király közbenjárására add,
hogy elnyerjük az örök boldogságot.
Krisztus, a mi Urunk által."
"120","Szent Iréneusz püspök és vértanú","3","06-28",,,,,,
"121","Szent Péter és Szent Pál apostolok","1","06-29","Misekönyv 643. oldal<br>
Ezek azok a férfiak,
akik testben élve vérükkel öntözték Isten Egyházának vetését:
kiitták az Úr kelyhét, és Isten barátai lettek.","Istenünk, te Péter és Pál apostol ünnepével
áldott szent örömet adtál a mai napon.
Engedd, hogy Egyházad mindenben kövesse azok tanítását,
akik első hirdetői voltak keresztény hitünknek.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Kérünk, Istenünk, az apostolok könyörgése kísérje áldozatunkat,
amelyet szent neved tiszteletére akarunk bemutatni,
és töltsön el minket az áldozat bemutatása közben igaz áhítattal.
Krisztus, a mi Urunk által.","Misekönyv 644. oldal<br>
<i>Péter és Pál kettős küldetése az Egyházban.</i><br>
Az Úr legyen veletek.	H.: És a te lelkeddel.<br>
Emeljük föl szívünket.	H.: Felemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek.	H.: Méltó és igazságos.<br>
 
(Mert) Valóban méltó és igazságos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
– mi Urunk, szentséges Atyánk,
mindenható, örök Isten:
<br>
Mert örvendezünk, hogy szent apostolaid, Péter és Pál által gondoskodtál rólunk,
és egyikük a hit megvallásában lett vezérlő tekintély számunkra,
– a másik pedig feltárta nékünk
  hitünknek mélységes értelmét.
<br>
Míg Péter az ősegyházba szervezte, ami Izrael népéből hű maradt,
– a pogány nemzeteknek Pál lett tanító mestere,
hogy ők is meghallják hívó szózatod.
<br>
Bár különböző úton jártak, mégis egységbe gyűjtötték a krisztusi család népét,
– s a két apostolt együtt tiszteljük itt a Földön,
mert közös mennyei koszorú várta őket.
<br>
Most ezért a szentekkel és minden angyallal együtt
–  dicsőítünk téged,
és vég nélkül mondjuk (zengjük):","Péter így szólt Jézushoz: Te vagy a Messiás, az élő Isten Fia.
Jézus így válaszolt: 
Te Péter vagy (azaz Kőszikla),
és én erre a sziklára építem Egyházamat. (Vö. Mt 16,16.18)","Szent kenyérrel tápláltál minket, Istenünk.
Add, hogy úgy éljünk Egyházadban,
hogy egy szívvel, egy lélekkel szeretetedben alapot vetve,
megmaradjunk a kenyértörés közösségében
és az apostoli tanításban.
Krisztus, a mi Urunk által."
"122","A római Egyház első szent vértanúi","4","06-30",,,,,,
"123","A Boldogságos Szűz Mária Szeplőtelen
Szíve","3","06-04",,,,,,
"125","Szűz Mária látogatása Erzsébetnél (Sarlós Boldogasszony)","2","07-02","Misekönyv 647. oldal<br>
Mind, akik félitek Istent,
jöjjetek és figyeljetek, mert elbeszélem,
milyen nagy dolgokat cselekedett velem az Isten!
 (Zsolt 65,16)","Mindenható, örök Isten,
a te sugallatodra indult útnak a Boldogságos Szűz Mária,
hogy szent Fiadat méhében hordozva Erzsébetet meglátogassa.
Add, hogy a Szentlélek indításait hűségesen kövessük,
és Máriával együtt mindig magasztaljunk téged.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Fölséges Istenünk,
legyen kedves előtted ez az üdvösségszerző áldozat,
amint egyszülött Fiad szent Anyjának
szeretetét is szívesen fogadtad.
Krisztus, a mi Urunk által.","I. prefáció a Boldogságos Szûz Máriáról (Szûz Mária látogatásának
ünnepén), Misekönyv 457. oldal, vagy II., 458. oldal","Íme, mostantól fogva
boldognak hirdet engem minden nemzedék,
mert nagyot tett velem a Hatalmas,
és szent az ő neve. (Lk 1,48-49)","Magasztaljon téged Egyházad, Istenünk,
mert nagy dolgokat cselekedtél velünk.
Add, hogy egyszülött Fiadat,
akit anyja méhében Keresztelő Szent János ujjongva köszöntött,
mindig örömmel fogadjuk szent lakomádon.
Aki él és uralkodik mindörökkön örökké."
"126","Szent Tamás apostol","2","07-03","Misekönyv 648. oldal<br>
Istenem vagy te, hálát adok neked,
Istenem vagy te, magasztallak téged;
hálát adok neked, mert üdvösségem lettél. (Vö. Zsolt 117,28.21)","Mindenható Istenünk,
Szent Tamás apostol
Urának és Istenének vallotta Fiadat.
Segítsen minket az ő példája,
hogy hitét követve mi is életet nyerjünk Jézus Krisztusban.
Aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Urunk, Istenünk, fogadd el szolgálatunk köteles hódolatát,
és kérve kérünk,
hogy ajándékaidat tedd maradandóvá bennünk,
akik Szent Tamás apostol ünnepén
a dicséret áldozatát mutatjuk be neked.
Krisztus, a mi Urunk által.","I. vagy II. prefáció az apostolokról, Misekönyv 461–462. oldal","Tedd ide kezedet, tapintsd meg a szögek helyét,
és ne légy hitetlen, hanem hívő. 
(Vö. Jn 20,27)","Istenünk, te ebben a szentségben
egyszülött Fiad testével tápláltál minket.
Add, hogy akit –  mint Szent Tamás apostol –  
hitünkkel Urunknak, Istenünknek ismerünk,
tetteinkkel és életünkkel is megvalljuk.
Aki él és uralkodik mindörökkön örökké."
"127","Portugáliai Szent Erzsébet","4","07-04",,,,,,
"128","Zaccaria Szent Antal Mária áldozópap","4","07-05",,,,,,
"129","Goretti Szent Mária szűz és vértanú","4","07-06",,,,,,
"130","Zhao Rong Szent Ágoston áldozópap és társai, kínai vértanúk","4","07-09",,,,,,
"131","Szent Benedek apát, Európa fővédőszentje","2","07-11","Misekönyv 651. oldal<br>
Volt egy tiszteletre méltó életű férfi:
Benedek, áldott a kegyelem által és nevében.
Elhagyta atyai házát és örökségét,
egyedül Istennek akart kedvében járni,
az imádság és a munka által.","Istenünk, te Szent Benedek apátot
az istenszolgálat iskolájában kiváló mesterré tetted.
Add, kérünk,
hogy az irántad való szeretetet mindennél többre becsüljük,
és szárnyaló szívvel járjunk parancsaid útján.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Urunk, Istenünk, tekints kegyesen erre az áldozatra,
amelyet Szent Benedek apát ünnepén bemutatunk neked.
Add, hogy példája szerint mi is téged keressünk,
és a te szolgálatodban elnyerjük az egység és a béke ajándékát.
Krisztus, a mi Urunk által.
",,"Ez a hű és okos szolga,
akit az Úr házanépe fölé rendelt,
hogy idejében kiadja részüket az élelemből.
(Lk 12,42)","Urunk, Istenünk, magunkhoz vettük az örök élet zálogát.
Kérve kérünk, hogy Szent Benedek apát tanítását követve
szolgálatodban hűségesek legyünk,
és testvéreinket buzgó szívvel szeressük.
Krisztus, a mi Urunk által."
"132","Szent Henrik","4","07-13",,,,,,
"133","Lellisi Szent Kamill áldozópap","4","07-14",,,,,,
"134","Szent Bonaventura püspök és egyháztanító","3","07-15",,,,,,
"135","Kármel-hegyi Boldogasszony","4","07-16",,,,,,
"136","Szent Zoerárd-András és Benedek remeték","4","07-17",,,,,,
"137","Szent Hedvig királynő","3","07-18",,,,,,
"138","Szent Apollinaris püspök és vértanú","4","07-20",,,,,,
"139","Brindisi Szent Lőrinc áldozópap és egyháztanító","4","07-21",,,,,,
"140","Szent Mária Magdolna","2","07-22","Misekönyv 657. oldal<br>
Így szólt az Úr Mária Magdolnához:
Menj el testvéreimhez, és vidd nekik hírül:
fölmegyek Atyámhoz és a ti Atyátokhoz,
Istenemhez és a ti Istenetekhez. (Jn 20,17)","Istenünk, a te egyszülött Fiad
Mária Magdolnára bízta,
hogy elsőként ő hirdesse a feltámadás örömhírét.
Közbenjárására add,
hogy példája nyomán mi is hirdessük,
hogy Krisztus él,
és megláthassuk őt dicsőségedben.
Aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Urunk, Istenünk, fogadd el áldozati adományainkat,
amelyeket bemutatunk előtted Szent Mária Magdolna ünnepén,
hiszen az ő szeretetének hódoló megnyilatkozását
egyszülött Fiad is kegyesen fogadta.
Aki él és uralkodik mindörökkön örökké.","Misekönyv 658. oldal<br>
<i>Az apostolok apostoláról</i><br>
℟. Az Úr legyen veletek!<br>
℣. És a te lelkeddel!<br>
℟. Emeljük föl szívünket!<br>
℣. Fölemeltük az Úrhoz!<br>
℟. Adjunk hálát Urunknak, Istenünknek!<br>
℣. Méltó és igazságos!
<br>
(Mert) Valóban méltó és igazságos, illő és üdvös,
hogy Téged, mindenható Atyánk, akinek irgalma
nem kisebb hatalmánál,
— mindenkor dicsérni,
Krisztus, a mi Urunk által.
<br>
Ő megmutatva önmagát megjelent a kertben
Mária Magdolnának,
aki szerette Őt életében,
látta meghalni a kereszten,
— kereste Őt a sírban
és elsőként imádta a halálból való
feltámadása után.
<br>
(A te) Fiad apostoli küldetéssel tisztelte meg őt
az apostolok előtt,
— hogy az új élet jóhíre
eljusson a világ végéig.
<br>
Ezért mi is Urunk, az angyalokkal és minden szenttel,
— Téged dicsérünk
és ujjongva mondjuk (zengjük):","Krisztus szeretete sürget minket,
hogy akik élnek, már ne önmaguknak éljenek,
hanem annak, aki értük meghalt és feltámadt. 
(2Kor 5,14-15)","Urunk, Istenünk, árasszon el minket
az áldozati lakomában való részesedés
azzal az állhatatos szeretettel,
amellyel Szent Mária Magdolna
hűségesen ragaszkodott Krisztushoz, isteni mesteréhez.
Aki él és uralkodik mindörökkön örökké."
"141","Svéd Szent Brigitta szerzetesnő, Európa társvédőszentje","2","07-23","Misekönyv 659. oldal<br>
Örvendezzünk mindnyájan az Úrban
Szent Brigittát köszöntve,
akinek ünnepén ujjonganak az angyalok,
és magasztalják az Isten Fiát.","Istenünk, te Szent Brigittát
élete folyamán különböző utakon vezetted,
és Fiad szenvedésének szemlélése
és átélése által csodálatosan megtanítottad őt
a kereszt bölcsességére.
Add, hogy bármely hivatásban éljünk is,
mindig és mindenben téged keressünk.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Irgalmas Istenünk,
te Szent Brigittában a régi ember helyébe
a saját képedre kialakítottad az újat.
Add, hogy mi is
lélekben megújulva ajánlhassuk fel
ezt az engesztelő áldozatot.
Krisztus, a mi Urunk által.",,"Szereted az igazságot, gyűlölöd a gonoszságot,
ezért kent föl Isten, a te Istened,
az öröm olajával társaid közül. 
(Zsolt 44,8)","Kérünk, mindenható Istenünk, hogy mi,
akiket ennek a szentségnek ereje táplál,
Szent Brigitta példájára
téged mindennél jobban keressünk,
és ebben a világban az új ember vonásait viseljük.
Krisztus, a mi Urunk által."
"142","Árpád-házi Szent Kinga szűz és szerzetesnő","3","07-24",,,,,,
